Question Type,Setting,Right/Wrong,Difficulty Level,Time Spent,Topic

Quantitative Comparison,Pure math,Wrong,2,1:42,Algebra

Quantitative Comparison,Pure math,Wrong,2,1:06,Algebra

Multiple-choice--Select One,Real-life,Right,4,5:20,Algebra

Multiple-choice--Select One,Pure math,Wrong,4,1:10,Algebra

Quantitative Comparison,Pure math,Wrong,3,0:19,Geometry

Quantitative Comparison,Pure math,Wrong,3,1:04,Geometry

Numeric Entry,Pure math,Right,5,2:36,Geometry

Multiple-choice--Select One,Pure math,Right,2,1:02,Data Analysis

Multiple-choice--Select One,Real-life,Right,2,3:15,Data Analysis

Quantitative Comparison,Real-life,Right,3,3:32,Data Analysis

Multiple-choice--Select One,Pure math,Wrong,4,0:23,Data Analysis

Multiple-choice--Select One or More,Real-life,Wrong,5,2:02,Data Analysis

Multiple-choice--Select One,Real-life,Right,2,1:13,Data Analysis

Multiple-choice--Select One,Real-life,Right,3,2:12,Data Analysis

Multiple-choice--Select One,Real-life,Right,4,1:27,Data Analysis

Quantitative Comparison,Pure math,Right,3,2:33,Arithmetic

Quantitative Comparison,Pure math,Right,4,0:40,Arithmetic

Multiple-choice--Select One,Real-life,Right,4,2:10,Arithmetic

Quantitative Comparison,Pure math,Wrong,4,2:02,Arithmetic

Multiple-choice--Select One,Pure math,Right,5,2:09,Arithmetic

Quantitative Comparison,Pure math,Right,3,1:30,Algebra

Numeric Entry,Real-life,Wrong,4,0:26,Algebra

Quantitative Comparison,Pure math,Right,4,0:51,Algebra

Multiple-choice--Select One or More,Pure math,Omitted,4,0:05,Algebra

Quantitative Comparison,Pure math,Right,4,1:17,Geometry

Multiple-choice--Select One,Pure math,Right,4,2:40,Geometry

Multiple-choice--Select One,Real-life,Wrong,5,1:07,Geometry

Numeric Entry,Pure math,Wrong,5,3:58,Geometry

Quantitative Comparison,Real-life,Right,3,0:55,Data Analysis

Multiple-choice--Select One,Pure math,Wrong,4,0:22,Data Analysis

Multiple-choice--Select One,Pure math,Right,5,2:20,Data Analysis

Multiple-choice--Select One,Real-life,Right,5,4:35,Data Analysis

Multiple-choice--Select One,Real-life,Right,1,1:13,Data Analysis

Multiple-choice--Select One,Real-life,Right,2,1:01,Data Analysis

Multiple-choice--Select One,Real-life,Right,4,2:58,Data Analysis

Quantitative Comparison,Pure math,Right,1,1:41,Arithmetic

,Pure math,Right,2,0:39,Arithmetic

Quantitative Comparison,Pure math,Right,2,0:33,Arithmetic

Numeric Entry,Real-life,Right,3,2:54,Arithmetic

Quantitative Comparison,Pure math,Right,3,0:39,Arithmetic

